(0, 0.061400000005960464)
(10, 0.6726999878883362)
(20, 0.7440999746322632)
(30, 0.8144000172615051)
(40, 0.7242000102996826)
(50, 0.9007999897003174)
(60, 0.9160000085830688)
(70, 0.9174000024795532)
(80, 0.9101999998092651)
(90, 0.9395999908447266)
(100, 0.9399999976158142)
(110, 0.9376999735832214)
(120, 0.9168999791145325)
(130, 0.9480999708175659)
(140, 0.9516000151634216)
(150, 0.9549999833106995)
(160, 0.9581000208854675)
(170, 0.9531999826431274)
(180, 0.9574999809265137)
(190, 0.9617000222206116)
(200, 0.9638000130653381)
(210, 0.9613000154495239)
(220, 0.9632999897003174)
(230, 0.9539999961853027)
(240, 0.9689000248908997)
(250, 0.9707000255584717)
(260, 0.9656999707221985)
(270, 0.9706000089645386)
(280, 0.9146000146865845)
(290, 0.96670001745224)
(300, 0.9692999720573425)
(310, 0.9704999923706055)
(320, 0.9732000231742859)
(330, 0.9726999998092651)
(340, 0.9746000170707703)
(350, 0.9765999913215637)
(360, 0.9593999981880188)
(370, 0.9732000231742859)
(380, 0.9688000082969666)
(390, 0.9746999740600586)
(400, 0.9731000065803528)
(410, 0.972599983215332)
(420, 0.9763000011444092)
(430, 0.9767000079154968)
(440, 0.9761999845504761)
(450, 0.9782999753952026)
(460, 0.9692000150680542)
(470, 0.9732000231742859)
(480, 0.9761000275611877)
(490, 0.9419999718666077)
(500, 0.9779000282287598)
(510, 0.9749000072479248)
(520, 0.9782999753952026)
(530, 0.9763000011444092)
(540, 0.9793999791145325)
(550, 0.965499997138977)
(560, 0.9789999723434448)
(570, 0.9775000214576721)
(580, 0.9787999987602234)
(590, 0.9739000201225281)
(600, 0.9789000153541565)
(610, 0.9789000153541565)
(620, 0.9789999723434448)
(630, 0.9789999723434448)
(640, 0.9817000031471252)
(650, 0.9821000099182129)
(660, 0.9591000080108643)
(670, 0.9800000190734863)
(680, 0.9815999865531921)
(690, 0.9800999760627747)
(700, 0.9830999970436096)
(710, 0.9794999957084656)
(720, 0.9781000018119812)
(730, 0.9801999926567078)
(740, 0.9825000166893005)
(750, 0.9817000031471252)
(760, 0.9803000092506409)
(770, 0.9829999804496765)
(780, 0.9807000160217285)
(790, 0.9815999865531921)
(800, 0.982699990272522)
(810, 0.9822999835014343)
(820, 0.9789999723434448)
(830, 0.9805999994277954)
(840, 0.9814000129699707)
(850, 0.9821000099182129)
(860, 0.983299970626831)
(870, 0.9839000105857849)
(880, 0.9839000105857849)
(890, 0.9835000038146973)
(900, 0.9824000000953674)
(910, 0.9843000173568726)
(920, 0.9818000197410583)
(930, 0.9796000123023987)
(940, 0.9832000136375427)
(950, 0.9832000136375427)
(960, 0.9818999767303467)
(970, 0.9835000038146973)
(980, 0.9836000204086304)
(990, 0.982699990272522)
(999, 0.9843000173568726)
