(0, 2.2949342727661133)
(10, 2.121976375579834)
(20, 2.1541953086853027)
(30, 1.8759315013885498)
(40, 1.1335948705673218)
(50, 0.8765228390693665)
(60, 0.44594091176986694)
(70, 0.36207836866378784)
(80, 0.32593995332717896)
(90, 0.30617523193359375)
(100, 0.2638307213783264)
(110, 0.2837006449699402)
(120, 0.25333863496780396)
(130, 0.31016817688941956)
(140, 0.26783958077430725)
(150, 0.24547728896141052)
(160, 0.2827320694923401)
(170, 0.21670329570770264)
(180, 0.24540981650352478)
(190, 0.21524138748645782)
(200, 0.22606904804706573)
(210, 0.2120891660451889)
(220, 0.25858816504478455)
(230, 0.19923844933509827)
(240, 0.239858478307724)
(250, 0.22747214138507843)
(260, 0.2081352025270462)
(270, 0.20714084804058075)
(280, 0.26773589849472046)
(290, 0.18048501014709473)
(300, 0.15787723660469055)
(310, 0.20337028801441193)
(320, 0.2007685750722885)
(330, 0.18971581757068634)
(340, 0.17529462277889252)
(350, 0.20357634127140045)
(360, 0.21608878672122955)
(370, 0.2232150137424469)
(380, 0.20839104056358337)
(390, 0.1576276272535324)
(400, 0.20823520421981812)
(410, 0.19658508896827698)
(420, 0.18816040456295013)
(430, 0.16777664422988892)
(440, 0.21111281216144562)
(450, 0.19211772084236145)
(460, 0.14813511073589325)
(470, 0.24434079229831696)
(480, 0.18884088099002838)
(490, 0.1728138029575348)
(500, 0.18832309544086456)
(510, 0.15903040766716003)
(520, 0.1847451627254486)
(530, 0.1589699536561966)
(540, 0.1594780832529068)
(550, 0.15037280321121216)
(560, 0.2000904232263565)
(570, 0.18062996864318848)
(580, 0.17162111401557922)
(590, 0.16291368007659912)
(600, 0.21381555497646332)
(610, 0.18187165260314941)
(620, 0.1638541966676712)
(630, 0.19904771447181702)
(640, 0.15690632164478302)
(650, 0.1954801231622696)
(660, 0.18314531445503235)
(670, 0.18059542775154114)
(680, 0.15925168991088867)
(690, 0.1451067328453064)
(700, 0.14514152705669403)
(710, 0.21029582619667053)
(720, 0.18331849575042725)
(730, 0.1928958147764206)
(740, 0.15263991057872772)
(750, 0.17422513663768768)
(760, 0.15515601634979248)
(770, 0.15713046491146088)
(780, 0.16035759449005127)
(790, 0.17093554139137268)
(800, 0.16087974607944489)
(810, 0.1565898358821869)
(820, 0.17039594054222107)
(830, 0.16516202688217163)
(840, 0.17888061702251434)
(850, 0.1672608107328415)
(860, 0.1921466439962387)
(870, 0.14660100638866425)
(880, 0.16380402445793152)
(890, 0.1398089975118637)
(900, 0.17117658257484436)
(910, 0.14783573150634766)
(920, 0.17120061814785004)
(930, 0.1594567745923996)
(940, 0.14918500185012817)
(950, 0.13459311425685883)
(960, 0.15001027286052704)
(970, 0.15456996858119965)
(980, 0.1651385873556137)
(990, 0.15653623640537262)
(999, 0.18578225374221802)
