(0, 0.1031000018119812)
(10, 0.32359999418258667)
(20, 0.5752000212669373)
(30, 0.29409998655319214)
(40, 0.3172000050544739)
(50, 0.5006999969482422)
(60, 0.736299991607666)
(70, 0.8644999861717224)
(80, 0.8428999781608582)
(90, 0.8634999990463257)
(100, 0.90420001745224)
(110, 0.9100000262260437)
(120, 0.9215999841690063)
(130, 0.9154000282287598)
(140, 0.82669997215271)
(150, 0.9096999764442444)
(160, 0.8385999798774719)
(170, 0.2700999975204468)
(180, 0.7698000073432922)
(190, 0.9010999798774719)
(200, 0.91839998960495)
(210, 0.9211999773979187)
(220, 0.8781999945640564)
(230, 0.8628000020980835)
(240, 0.9319999814033508)
(250, 0.8784000277519226)
(260, 0.10320000350475311)
(270, 0.10320000350475311)
(280, 0.10100000351667404)
(290, 0.11349999904632568)
(300, 0.11349999904632568)
(310, 0.10100000351667404)
(320, 0.11349999904632568)
(330, 0.11349999904632568)
(340, 0.11349999904632568)
(350, 0.11349999904632568)
(360, 0.10320000350475311)
(370, 0.11349999904632568)
(380, 0.11349999904632568)
(390, 0.10100000351667404)
(400, 0.09799999743700027)
(410, 0.11349999904632568)
(420, 0.11349999904632568)
(430, 0.0982000008225441)
(440, 0.11349999904632568)
(450, 0.11349999904632568)
(460, 0.11349999904632568)
(470, 0.11349999904632568)
(480, 0.10100000351667404)
(490, 0.0982000008225441)
(500, 0.0982000008225441)
(510, 0.11349999904632568)
(520, 0.10320000350475311)
(530, 0.10100000351667404)
(540, 0.11349999904632568)
(550, 0.11349999904632568)
(560, 0.10320000350475311)
(570, 0.0982000008225441)
(580, 0.10100000351667404)
(590, 0.10320000350475311)
(600, 0.11349999904632568)
(610, 0.0982000008225441)
(620, 0.11349999904632568)
(630, 0.11349999904632568)
(640, 0.11349999904632568)
(650, 0.09799999743700027)
(660, 0.0982000008225441)
(670, 0.09799999743700027)
(680, 0.0982000008225441)
(690, 0.11349999904632568)
(700, 0.09799999743700027)
(710, 0.0982000008225441)
(720, 0.11349999904632568)
(730, 0.09799999743700027)
(740, 0.10100000351667404)
(750, 0.0982000008225441)
(760, 0.09799999743700027)
(770, 0.10320000350475311)
(780, 0.10100000351667404)
(790, 0.11349999904632568)
(800, 0.11349999904632568)
(810, 0.0982000008225441)
(820, 0.10100000351667404)
(830, 0.10320000350475311)
(840, 0.10320000350475311)
(850, 0.10090000182390213)
(860, 0.0982000008225441)
(870, 0.10279999673366547)
(880, 0.11349999904632568)
(890, 0.10100000351667404)
(900, 0.10090000182390213)
(910, 0.0982000008225441)
(920, 0.11349999904632568)
(930, 0.11349999904632568)
(940, 0.10279999673366547)
(950, 0.09799999743700027)
(960, 0.10279999673366547)
(970, 0.10100000351667404)
(980, 0.10100000351667404)
(990, 0.11349999904632568)
