(0, 2.3017094135284424)
(10, 1.5811856985092163)
(20, 0.8992000818252563)
(30, 0.5682705640792847)
(40, 1.0836892127990723)
(50, 0.3454740643501282)
(60, 0.29923295974731445)
(70, 0.27871593832969666)
(80, 0.2717839777469635)
(90, 0.21171559393405914)
(100, 0.19897228479385376)
(110, 0.20056769251823425)
(120, 0.24484187364578247)
(130, 0.16665999591350555)
(140, 0.15622593462467194)
(150, 0.1459933966398239)
(160, 0.13681110739707947)
(170, 0.1510656177997589)
(180, 0.13537150621414185)
(190, 0.12359825521707535)
(200, 0.12224671989679337)
(210, 0.1260640174150467)
(220, 0.10889817774295807)
(230, 0.13713374733924866)
(240, 0.10119954496622086)
(250, 0.09894610941410065)
(260, 0.10852222889661789)
(270, 0.09504292160272598)
(280, 0.2619774043560028)
(290, 0.1013108491897583)
(300, 0.09476783871650696)
(310, 0.09030822664499283)
(320, 0.08082149177789688)
(330, 0.08258615434169769)
(340, 0.07876182347536087)
(350, 0.07587648183107376)
(360, 0.11487824469804764)
(370, 0.081519216299057)
(380, 0.09526129066944122)
(390, 0.07849618047475815)
(400, 0.08200044184923172)
(410, 0.081740602850914)
(420, 0.07286190986633301)
(430, 0.07366911321878433)
(440, 0.07605882734060287)
(450, 0.06817975640296936)
(460, 0.09201982617378235)
(470, 0.08791111409664154)
(480, 0.07082442194223404)
(490, 0.16199512779712677)
(500, 0.0703950896859169)
(510, 0.07146795094013214)
(520, 0.0670795664191246)
(530, 0.07418802380561829)
(540, 0.062476325780153275)
(550, 0.10393086075782776)
(560, 0.06844347715377808)
(570, 0.06638450920581818)
(580, 0.06274063140153885)
(590, 0.08234169334173203)
(600, 0.06331267952919006)
(610, 0.06317157298326492)
(620, 0.06772004812955856)
(630, 0.06707293540239334)
(640, 0.05994207784533501)
(650, 0.056689344346523285)
(660, 0.1184716671705246)
(670, 0.06150280311703682)
(680, 0.059670668095350266)
(690, 0.06034896895289421)
(700, 0.0562344528734684)
(710, 0.06367332488298416)
(720, 0.06824494898319244)
(730, 0.06160946190357208)
(740, 0.05339789390563965)
(750, 0.05986788496375084)
(760, 0.05807654559612274)
(770, 0.05249391496181488)
(780, 0.05951837822794914)
(790, 0.05920566990971565)
(800, 0.05436268821358681)
(810, 0.05347277224063873)
(820, 0.06545289605855942)
(830, 0.05910121276974678)
(840, 0.06034030765295029)
(850, 0.054353319108486176)
(860, 0.05085719749331474)
(870, 0.050422292202711105)
(880, 0.04984037205576897)
(890, 0.051909320056438446)
(900, 0.05269354209303856)
(910, 0.05123182386159897)
(920, 0.05288209766149521)
(930, 0.06133364140987396)
(940, 0.05332743003964424)
(950, 0.05263958126306534)
(960, 0.057400502264499664)
(970, 0.053099676966667175)
(980, 0.05105212703347206)
(990, 0.052978429943323135)
(999, 0.04957374557852745)
